2026-03-08T19:16:10.282617746Z 2026-03-08 19:16:10.282 | INFO | app.pipeline_lib.logging:_emit:35 - step_complete | run_id=508cd9ae global_pipeline=places_global_pipeline stage=property_resolution pipeline=primary_type_Main Type pipeline_name=description_Notes step=build_fact_pack step_name=build_fact_pack property_name=Notes event=success duration_ms=0.02
2026-03-08T19:16:10.283025167Z 2026-03-08 19:16:10.282 | INFO | app.pipeline_lib.logging:_emit:35 - step_start | run_id=508cd9ae global_pipeline=places_global_pipeline stage=property_resolution pipeline=website_URL pipeline_name=noop_Yelp step=no_op step_name=no_op property_name=Yelp
2026-03-08T19:16:10.283300155Z 2026-03-08 19:16:10.283 | INFO | app.pipeline_lib.logging:_emit:35 - step_start | run_id=508cd9ae global_pipeline=places_global_pipeline stage=property_resolution pipeline=website_URL pipeline_name=tags_Tags step=infer_tags step_name=infer_tags property_name=Tags
2026-03-08T19:16:10.283558622Z 2026-03-08 19:16:10.283 | INFO | app.pipeline_lib.logging:_emit:35 - step_complete | run_id=508cd9ae global_pipeline=places_global_pipeline stage=property_resolution pipeline=noop_Yelp pipeline_name=location_relation_Location step=build_location_candidate step_name=build_location_candidate property_name=Location event=success duration_ms=0.02
2026-03-08T19:16:10.283823439Z 2026-03-08 19:16:10.283 | INFO | app.pipeline_lib.logging:_emit:35 - step_start | run_id=508cd9ae global_pipeline=places_global_pipeline stage=property_resolution pipeline=website_URL pipeline_name=latitude_Latitude step=extract_latitude step_name=extract_latitude
2026-03-08T19:16:10.284063416Z 2026-03-08 19:16:10.283 | INFO | app.pipeline_lib.logging:_emit:35 - step_complete | run_id=508cd9ae global_pipeline=places_global_pipeline stage=property_resolution pipeline=latitude_Latitude pipeline_name=coordinates_Coordinates step=extract_coordinates step_name=extract_coordinates event=success duration_ms=0.01
2026-03-08T19:16:10.284373695Z 2026-03-08 19:16:10.284 | INFO | app.pipeline_lib.logging:_emit:35 - step_start | run_id=508cd9ae global_pipeline=places_global_pipeline stage=property_resolution pipeline=website_URL pipeline_name=neighborhood_Neighborhood step=infer_neighborhood step_name=infer_neighborhood property_name=Neighborhood
2026-03-08T19:16:10.284626071Z 2026-03-08 19:16:10.284 | INFO | app.pipeline_lib.logging:_emit:35 - step_start | run_id=508cd9ae global_pipeline=places_global_pipeline stage=property_resolution pipeline=website_URL pipeline_name=longitude_Longitude step=extract_longitude step_name=extract_longitude
2026-03-08T19:16:10.284859858Z 2026-03-08 19:16:10.284 | INFO | app.pipeline_lib.logging:_emit:35 - step_start | run_id=508cd9ae global_pipeline=places_global_pipeline stage=property_resolution pipeline=website_URL pipeline_name=google_maps_Google Maps step=extract_google_maps_uri step_name=extract_google_maps_uri
2026-03-08T19:16:10.285085644Z 2026-03-08 19:16:10.284 | INFO | app.pipeline_lib.logging:_emit:35 - step_start | run_id=508cd9ae global_pipeline=places_global_pipeline stage=property_resolution pipeline=website_URL pipeline_name=address_Address step=extract_formatted_address step_name=extract_formatted_address
2026-03-08T19:16:10.285358632Z 2026-03-08 19:16:10.285 | INFO | app.custom_pipelines.primary_type:execute:59 - main_type_option_selection_request | run_id=508cd9ae global_pipeline=places_global_pipeline stage=property_resolution pipeline=website_URL pipeline_name=primary_type_Main Type step=infer_primary_type step_name=infer_primary_type property_name=Main Type
2026-03-08T19:16:10.285758883Z 2026-03-08 19:16:10.285 | INFO | app.pipeline_lib.logging:_emit:35 - step_start | run_id=508cd9ae global_pipeline=places_global_pipeline stage=property_resolution pipeline=website_URL pipeline_name=title_Name step=extract_display_name step_name=extract_display_name
2026-03-08T19:16:10.285953188Z 2026-03-08 19:16:10.285 | INFO | app.pipeline_lib.logging:_emit:35 - step_start | run_id=508cd9ae global_pipeline=places_global_pipeline stage=property_resolution pipeline=website_URL pipeline_name=website_URL step=extract_website_uri step_name=extract_website_uri
